"Variable","Element","Estimate","lwr","upr","se","p","n"
"Afrotropic","Intercept",-1.4,-1.61,-1.19,0.11,0,938
"Australasia","Intercept",-1.3,-1.69,-0.91,0.2,0.6181,339
"Indomalay","Intercept",-1.51,-1.85,-1.18,0.17,0.5121,71
"Nearctic","Intercept",-1.22,-1.49,-0.94,0.14,0.1904,17525
"Neotropic","Intercept",-1.6,-1.85,-1.35,0.13,0.1165,532
"Oceania","Intercept",0.23,-1.26,1.72,0.76,0.0318,3
"Palearctic","Intercept",-1.08,-1.34,-0.83,0.13,0.015,483
"PDF:Afrotropic","Slope",4.27,4.03,4.51,0.12,0,NA
"PDF:Australasia","Slope",4.16,3.62,4.71,0.28,0.6987,NA
"PDF:Indomalay","Slope",4.15,3.72,4.58,0.22,0.5835,NA
"PDF:Nearctic","Slope",4.36,3.99,4.73,0.19,0.632,NA
"PDF:Neotropic","Slope",4.59,4.3,4.88,0.15,0.0322,NA
"PDF:Oceania","Slope",-0.550000000000001,-5.67,4.57,2.61,0.0651,NA
"PDF:Palearctic","Slope",3.08,2.76,3.4,0.16,0,NA
